1 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000 1.0000 
2 2.0000 3.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 -1.0000 3.0000 -0.0000 1.0000 -2.0000 0.0000 0.0000 0.0000 1.0000 
2 1.0000 3.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 -0.5000 1.5000 -0.0000 0.5000 -0.5000 0.0000 0.0000 0.0000 1.0000 
3 1.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000 1.0000 1.0000 -1.0000 -0.0000 0.0000 1.0000 -0.0000 0.0000 0.0000 1.0000 
3 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 -1.0000 0.0000 1.0000 -0.0000 0.0000 0.0000 1.0000 
3 1.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 -0.0000 -1.0000 1.0000 -0.0000 0.0000 0.0000 1.0000 
3 1.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000 0.0000 -0.0000 0.0000 1.0000 -1.0000 0.0000 0.0000 1.0000 
3 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 1.0000 0.0000 -0.0000 0.0000 1.0000 -0.0000 -1.0000 0.0000 1.0000 
3 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 1.0000 1.0000 0.0000 -0.0000 0.0000 1.0000 -0.0000 0.0000 -1.0000 1.0000 
3 1.0000 2.0000 2.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 -1.0000 2.0000 2.0000 1.0000 -1.0000 -2.0000 0.0000 0.0000 1.0000 
3 1.0000 2.0000 1.0000 1.0000 1.0000 0.0000 1.0000 0.0000 1.0000 -0.5000 1.0000 0.5000 0.5000 -0.0000 -0.5000 0.5000 -1.0000 0.5000 
3 1.0000 2.0000 1.0000 1.0000 1.0000 0.0000 1.0000 1.0000 1.0000 -1.0000 1.0000 1.0000 1.0000 0.0000 -1.0000 0.0000 -1.0000 1.0000 
3 1.0000 2.0000 1.0000 1.0000 1.0000 2.0000 1.0000 1.0000 1.0000 -1.0000 -1.0000 3.0000 1.0000 0.0000 -1.0000 0.0000 1.0000 -1.0000 
3 1.0000 2.0000 2.0000 1.0000 1.0000 2.0000 1.0000 1.0000 1.0000 -1.0000 0.0000 2.0000 1.0000 -1.0000 -0.0000 0.0000 1.0000 -1.0000 
3 2.0000 2.0000 2.0000 5.0000 1.0000 1.0000 1.0000 2.0000 1.0000 -0.1250 0.2500 0.0000 -0.5000 0.0000 1.0000 1.1250 -0.2500 -1.0000 
3 2.0000 2.0000 1.0000 5.0000 1.0000 1.0000 1.0000 2.0000 4.0000 -0.0800 0.2400 -0.0400 0.7600 -0.2800 -0.1200 -0.3600 0.0800 0.3200 
3 2.0000 3.0000 2.0000 1.0000 1.0000 2.0000 1.0000 3.0000 2.0000 1.0000 -0.0000 -1.0000 0.0000 -0.5000 0.5000 -0.5000 0.7500 0.2500
